Mobile Device Model/ Code,,
Code,Anzahl,%
Summe,0,0%
iPhone ,743,25%
Android Mobile Phone (Unidentifiable),462,15%
SM-A528B,57,2%
SM-A536B,52,2%
SM-S901B,50,2%
SM-A546B/DS,43,1%
SM-A515F,36,1%
SM-S911B,33,1%
SM-G780G,32,1%
SM-G991B,32,1%
SM-S918B,31,1%
SM-G973F,28,1%
SM-A226B,27,1%
SM-S908B,26,1%
SM-G780F,25,1%
SM-G990B,25,1%
SM-A146P/N,24,1%
M2101K6G,23,1%
VOG-L29,22,1%
SM-A127F,21,1%
SM-A137F,20,1%
SM-A525F,20,1%
SM-G781B,19,1%
2201117TY,18,1%
SM-A202F,18,1%
SM-A346B/DSN,18,1%
SM-A336B,17,1%
SM-G960F,17,1%
MAR-LX1A,16,1%
Note 9 Pro,16,1%
MAR-LX1B,15,0%
SM-A217F,14,0%
SM-A405FN,14,0%
SM-A505FN,14,0%
SM-G990B2,14,0%
Empty (unidentifiable),14,0%
SM-A326B,13,0%
SM-A715F,13,0%
SM-G975F,13,0%
SM-G998B,13,0%
SM-A125F,12,0%
SM-A415F,12,0%
SM-G950F,12,0%
SM-G965F,12,0%
SM-G985F,12,0%
M2102J20SG,11,0%
Note 8 Pro,11,0%
Pixel 7,11,0%
Pixel 7A,11,0%
SM-A236B/DS,11,0%
ANE-LX1,10,0%
ELE-L29,10,0%
Pixel 6a,10,0%
Pixel 7 Pro,10,0%
SM-G980F,10,0%
2209116AG,9,0%
SM-A526B,9,0%
21081111RG,8,0%
2109119DG,8,0%
SM-F721B,8,0%
SM-S906B,8,0%
SNE-LX1,8,0%
21091116UG,7,0%
2201117SY,7,0%
22126RN91Y,7,0%
SM-A705FN,7,0%
SM-F731B,7,0%
23078PND5G,6,0%
EML-L29,6,0%
M2007J20CG,6,0%
M2101K9G,6,0%
Note 8T,6,0%
SM-A225F,6,0%
SM-A520F,6,0%
SM-M127F,6,0%
SM-M215F,6,0%
SM-S916B,6,0%
2107113SG,5,0%
2201116TG,5,0%
22120RN86G,5,0%
M2007J17G,5,0%
Note 7,5,0%
POT-LX1,5,0%
SM-A136B,5,0%
SM-A145R/DSN,5,0%
SM-A750FN,5,0%
SM-G930F,5,0%
SM-G955F,5,0%
SM-G996B,5,0%
SM-N770F,5,0%
2201116PG,4,0%
2201116SG,4,0%
2201122G,4,0%
22081212UG,4,0%
2303CRA44A,4,0%
CLT-L29,4,0%
LYA-L29,4,0%
M2003J15SC,4,0%
M2101K7AG,4,0%
M2101K7BNY,4,0%
M2101K9AG,4,0%
M2103K19G,4,0%
SM-A035G/DSN,4,0%
SM-A145F,4,0%
SM-F711B,4,0%
SM-G970F,4,0%
SM-N975F,4,0%
2201123G,3,0%
2203129G,3,0%
220333QNY,3,0%
22101316G,3,0%
22101320G,3,0%
23021RAA2Y,3,0%
23053RN02Y,3,0%
2306EPN60G,3,0%
CPH2211,3,0%
CPH2219,3,0%
CPH2307,3,0%
FLA-LX1,3,0%
FP3,3,0%
HMA-L29,3,0%
HRY-LX1,3,0%
IN2025,3,0%
JNY-LX1,3,0%
M2006C3LG,3,0%
M2006C3MG,3,0%
M2011K2G,3,0%
Mi Note 10 Lite,3,0%
moto e20,3,0%
Moto G10,3,0%
Moto G30,3,0%
Moto G7 Power,3,0%
Pixel 4a,3,0%
Poco F2 Pro,3,0%
RNE-L21,3,0%
SM-A037G/DSN,3,0%
SM-A047F,3,0%
SM-A105FN,3,0%
SM-A305F,3,0%
SM-A307FN,3,0%
SM-A530F,3,0%
SM-G610F,3,0%
SM-G770F,3,0%
SM-G988B,3,0%
SM-J600FN,3,0%
SM-M307FN,3,0%
SM-M315F,3,0%
SM-M325FV/DS,3,0%
SM-S711B,3,0%
9030,2,0%
21061110AG,2,0%
22011119UY,2,0%
2201117PG,2,0%
2201117SI,2,0%
220233L2G,2,0%
22041216G,2,0%
220733SG,2,0%
22101316UG,2,0%
