"	iOS Devices",,
March 2024,,
Device,# users,%
"	Apple iPhone 11",177241,11.15%
"	Apple iPhone 13",164563,10.35%
"	Apple iPhone 12",141243,8.89%
"	Apple iPhone 14",88450,5.56%
"	Apple iPhone 13 Pro Max",80702,5.08%
"	Apple iPhone 14 Pro Max",78218,4.92%
"	Apple iPhone 13 Pro",77279,4.86%
"	Apple iPhone 14 Pro",74885,4.71%
"	Apple iPhone XR",74739,4.70%
"	Apple iPhone 12 Pro Max",56290,3.54%
"	Apple iPhone 15 Pro Max",55496,3.49%
"	Apple iPhone SE 2nd Gen",55195,3.47%
"	Apple iPhone 12 Pro",49580,3.12%
"	Apple iPhone 15 Pro",49114,3.09%
"	Apple iPhone 15",34800,2.19%
"	Apple iPhone 12 Mini",33189,2.09%
"	Apple iPhone 11 Pro",27837,1.75%
"	Apple iPhone 13 mini",27594,1.74%
"	Apple iPhone 11 Pro Max",27378,1.72%
"	Apple iPhone 14 Plus",25689,1.62%
"	Apple iPhone 8",22683,1.43%
"	Apple iPhone X",19128,1.20%
"	Apple iPhone 7",18736,1.18%
"	Apple iPhone SE (3rd generation)",18574,1.17%
"	Apple iPhone XS",17680,1.11%
"	Apple iPhone XS Max",14419,0.91%
"	Apple iPhone 8 Plus",13422,0.84%
"	Apple iPhone 15 Plus",10928,0.69%
"	Apple iPhone 7 Plus",7486,0.47%
"	Apple iPhone 6s",5921,0.37%
"	Apple iPad (9th generation)",4835,0.30%
"	Apple iPad 6",3486,0.22%
"	iPhone SE",2806,0.18%
"	Apple iPad 10.2"" 8th Gen (Wi-Fi Only)",2492,0.16%
"	Apple iPad Pro",2410,0.15%
"	Apple iPad 5",2324,0.15%
"	Apple iPhone 6s Plus",2171,0.14%
"	Apple iPad 10.2"" 7th Gen (Wi-Fi Only)",2162,0.14%
"	Apple iPad Air 2",2013,0.13%
"	Apple iPad Air 4th Gen (Wi-Fi Only)",1913,0.12%
"	Apple iPad Air 3rd Gen (WiFi)",1543,0.10%
"	Apple iPad Air (5th generation)",1393,0.09%
"	Apple iPad Pro 3",1314,0.08%
"	Apple iPad 10.9"" 10th Gen (Wi-Fi Only)",1167,0.07%
"	Apple iPad Pro 12.9 inch 4th Gen",990,0.06%
"	Apple iPad Mini 5th Gen (WiFi)",937,0.06%
"	Apple iPad Pro 11 inch 2nd Gen",817,0.05%
"	Apple iPad Pro 12.9"" 5th Gen (Wi-Fi Only)",766,0.05%
"	Apple iPad mini (6th generation)",741,0.05%
"	Apple iPad Mini 4",700,0.04%
"	Apple iPad Pro 11"" 3rd Gen (Wi-Fi Only)",697,0.04%
"	Apple iPad Pro 2",375,0.02%
"	Apple iPad Pro 12.9"" (Wi-Fi Only - 6th Gen)",360,0.02%
"	Apple iPad Pro 12.9"" 5th Gen (Wi-Fi/Cellular)",356,0.02%
"	Apple iPad Pro 11"" 3rd Gen (Wi-Fi/Cellular)",333,0.02%
"	Apple iPad Pro 11"" (Wi-Fi Only - 4th Gen)",331,0.02%
"	Apple iPad Air 4th Gen (WiFi+Celular)",265,0.02%
"	Apple iPad 10.2"" 7th Gen (Wi-Fi/Cellular, US/CA)",212,0.01%
"	Apple iPad Pro 12.9"" (Wi-Fi/Cell - 6th Gen)",210,0.01%
"	Apple iPad 10.2"" 8th Gen (Wi-Fi/Cellular)",192,0.01%
"	Apple iPad Air 3rd Gen",190,0.01%
"	Apple iPad 10.9"" 10th Gen (Wi-Fi/Cellular)",173,0.01%
"	Apple iPad Mini 5th Gen",127,0.01%
"	Apple iPad Pro 11"" (Wi-Fi/Cell - 4th Gen)",124,0.01%
"	Apple iPod Touch 7th Gen",35,0.00%
"	Apple iPhone",12,0.00%
